


CHASSI_VENDIDO|DESCRICAO_MODELO|DATA_VENDA|NOME_CLIENTE|TELEFONE_RESIDENCIAL|TELEFONE_COMERCIAL|RAMAL|E_MAIL|DIAS_APOS_A_VENDA|STATUS_REVISAO
9C2JC7000RR065532|BIZ 110I|07/06/2024||||||157|PENDENTE
9C2JC4830RR120185|BIZ 125|10/06/2024||||||154|PENDENTE
9C2KF5220RR014475|PCX 160 DELUXE|10/06/2024||||||154|PENDENTE
9C2KC2500RR084939|CG160 START|11/06/2024||||||153|PENDENTE
9C2KC2210RR075590|CG160 TITAN|11/06/2024||||||153|PENDENTE
9C2JK3400SR000525|ELITE 125|18/06/2024||||||146|PENDENTE
9C2JK3400SR001241|ELITE 125|18/06/2024||||||146|PENDENTE
9C2KC2200RR654068|CG160 FAN|18/06/2024||||||146|PENDENTE
9C2KC2200RR657618|CG160 FAN|18/06/2024||||||146|PENDENTE
9C2KC2200RR657625|CG160 FAN|18/06/2024||||||146|PENDENTE
9C2KC2500RR093650|CG160 START|18/06/2024||||||146|PENDENTE
9C2KC2210RR082052|CG160 TITAN|18/06/2024||||||146|PENDENTE
9C2KC2210RR080420|CG160 TITAN|26/06/2024||||||138|PENDENTE
9C2JC4830RR141228|BIZ 125|27/06/2024||||||137|PENDENTE
9C2KC2200RR229933|CG160 FAN|27/06/2024||||||137|PENDENTE
9C2KC2500RR096520|CG160 START|28/06/2024||||||136|PENDENTE
9C2KF5220RR014879|PCX 160 DELUXE|29/06/2024||||||135|PENDENTE
9C2KF4300RR105909|HONDA ADV|08/07/2024||||||126|PENDENTE
9C2KC2200RR022536|CG160 FAN|18/07/2024||||||116|PENDENTE
9C2KC2200RR660040|CG160 FAN|18/07/2024||||||116|PENDENTE
9C2KC2200RR661006|CG160 FAN|18/07/2024||||||116|PENDENTE
9C2KC2200RR661224|CG160 FAN|18/07/2024||||||116|PENDENTE
9C2KC2500RR101828|CG160 START|18/07/2024||||||116|PENDENTE
9C2KC2210RR084500|CG160 TITAN|18/07/2024||||||116|PENDENTE
9C2KC2210RR087745|CG160 TITAN|18/07/2024||||||116|PENDENTE
9C2NC6100RR014797|CB300F TWISTER CBS|18/07/2024||||||116|PENDENTE
9C2NC6100RR015502|CB300F TWISTER CBS|18/07/2024||||||116|PENDENTE
9C2NC6110RR024141|CB300F TWISTER ABS|18/07/2024||||||116|PENDENTE
9C2ND1740RR209117|XRE 300 SAHARA ADV|18/07/2024||||||116|PENDENTE
9C2MD4100RR017651|XRE 190|18/07/2024||||||116|PENDENTE
9C2JK3400SR003612|ELITE 125|19/07/2024||||||115|PENDENTE
9C2JK3400SR003340|ELITE 125|22/07/2024||||||112|PENDENTE
9C2JC4830RR148801|BIZ 125|26/07/2024||||||108|PENDENTE
9C2JK3400SR003553|ELITE 125|26/07/2024||||||108|PENDENTE
9C2JK3400SR003976|ELITE 125|26/07/2024||||||108|PENDENTE
9C2KC2500RR102769|CG160 START|30/07/2024||||||104|PENDENTE
9C2KC2210RR089068|CG160 TITAN|30/07/2024||||||104|PENDENTE
9C2ND1910SR000174|XR300L TORNADO|30/07/2024||||||104|PENDENTE
9C2KF5210RR011922|PCX 160 ABS|31/07/2024||||||103|PENDENTE
9C2KF5220RR017439|PCX 160 DELUXE|31/07/2024||||||103|PENDENTE
9C2JK3400SR004621|ELITE 125|07/08/2024||||||96|PENDENTE
9C2KC2210RR091785|CG160 TITAN|12/08/2024||||||91|PENDENTE
9C2ND1730RR108604|XRE 300 SAHARA RALLY|13/08/2024||||||90|PENDENTE
9C2JC4830RR150641|BIZ 125|15/08/2024||||||88|PENDENTE
