


CHASSI_VENDIDO|DESCRICAO_MODELO|DATA_VENDA|NOME_CLIENTE|TELEFONE_RESIDENCIAL|TELEFONE_COMERCIAL|RAMAL|E_MAIL|DIAS_APOS_A_VENDA|STATUS_REVISAO
9C2JC4830RR318263|BIZ 125|20/04/2024||||||179|PENDENTE
9C2JF8500RR023581|ELITE 125|20/04/2024||||||179|PENDENTE
9C2KF5200RR012130|PCX 160|23/04/2024||||||176|PENDENTE
9C2JF8500RR023821|ELITE 125|23/04/2024||||||176|PENDENTE
9C2KC2500RR071009|CG160 START|25/04/2024||||||174|PENDENTE
9C2KC2500RR071982|CG160 START|25/04/2024||||||174|PENDENTE
9C2KC2210RR057127|CG160 TITAN|25/04/2024||||||174|PENDENTE
9C2NC6110RR014566|CB300F TWISTER ABS|25/04/2024||||||174|PENDENTE
9C2KC2200RR223708|CG160 FAN|27/04/2024||||||172|PENDENTE
9C2KC2200RR224097|CG160 FAN|27/04/2024||||||172|PENDENTE
9C2KC2200RR642701|CG160 FAN|27/04/2024||||||172|PENDENTE
9C2KC2500RR069751|CG160 START|27/04/2024||||||172|PENDENTE
9C2KC2200RR642424|CG160 FAN|29/04/2024||||||170|PENDENTE
9C2KC2210RR055214|CG160 TITAN|29/04/2024||||||170|PENDENTE
9C2KC2210RR060400|CG160 TITAN|29/04/2024||||||170|PENDENTE
9C2JC7000RR059558|BIZ 110I|29/04/2024||||||170|PENDENTE
9C2KC2200RR223308|CG160 FAN|30/04/2024||||||169|PENDENTE
9C2KC2200RR642396|CG160 FAN|30/04/2024||||||169|PENDENTE
9C2KC2500RR075814|CG160 START|30/04/2024||||||169|PENDENTE
9C2KC2500RR076862|CG160 START|30/04/2024||||||169|PENDENTE
9C2KC2500RR077236|CG160 START|30/04/2024||||||169|PENDENTE
9C2KC2210RR062735|CG160 TITAN|30/04/2024||||||169|PENDENTE
9C2ND1740RR205961|XRE 300 SAHARA ADV|30/04/2024||||||169|PENDENTE
9C2JB0100RR223517|POP 110I|30/04/2024||||||169|PENDENTE
9C2JC7000RR043039|BIZ 110I|30/04/2024||||||169|PENDENTE
9C2MD4100RR013439|XRE 190|30/04/2024||||||169|PENDENTE
9C2KC2500RR075858|CG160 START|02/05/2024||||||167|PENDENTE
9C2NC6110RR013969|CB300F TWISTER ABS|03/05/2024||||||166|PENDENTE
9C2KF5200RR011025|PCX 160|06/05/2024||||||163|PENDENTE
9C2KF5210RR007843|PCX 160 ABS|08/05/2024||||||161|PENDENTE
